
---------- Begin Simulation Statistics ----------
simSeconds                                   0.148730                       # Number of seconds simulated (Second)
simTicks                                 148730020376                       # Number of ticks simulated (Tick)
finalTick                                148730020376                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1530.46                       # Real time elapsed on the host (Second)
hostTickRate                                 97179906                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8698004                       # Number of bytes of host memory used (Byte)
simInsts                                    314287506                       # Number of instructions simulated (Count)
simOps                                      402599103                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   205355                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     263057                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        312458027                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.993721                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.006318                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       426959795                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     9697                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      423323823                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  57944                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24370388                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16657516                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2102                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           304715172                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.389244                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.304462                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 104944897     34.44%     34.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  58489180     19.19%     53.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  86615651     28.43%     82.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  33606391     11.03%     93.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15739634      5.17%     98.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4432080      1.45%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    638596      0.21%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    156288      0.05%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     92455      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             304715172                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4380646     26.65%     26.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  67233      0.41%     27.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     528      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     5      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   252      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                  258      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                2982737     18.15%     45.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc              842153      5.12%     50.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                6016125     36.61%     86.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                 244875      1.49%     88.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     88.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                718156      4.37%     92.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                  4254      0.03%     92.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc              94464      0.57%     93.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     93.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift              1083463      6.59%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%    100.00% # attempts to use FU when none available (Count)
