
---------- Begin Simulation Statistics ----------
simSeconds                                   0.148782                       # Number of seconds simulated (Second)
simTicks                                 148781597832                       # Number of ticks simulated (Tick)
finalTick                                148781597832                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1607.68                       # Real time elapsed on the host (Second)
hostTickRate                                 92544352                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8698004                       # Number of bytes of host memory used (Byte)
simInsts                                    314287499                       # Number of instructions simulated (Count)
simOps                                      402599095                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   195491                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     250423                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        312566383                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.994066                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.005969                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       426979732                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     9747                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      423343558                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  57742                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24390383                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16662191                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2152                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           304636591                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.389667                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.304476                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 104866037     34.42%     34.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  58480498     19.20%     53.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  86620058     28.43%     82.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  33605505     11.03%     93.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15740469      5.17%     98.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4440651      1.46%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    634822      0.21%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    156042      0.05%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     92509      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             304636591                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4380039     26.65%     26.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  68189      0.41%     27.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     551      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     5      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   252      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                  259      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     27.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                2981808     18.14%     45.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc              842012      5.12%     50.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                6016786     36.61%     86.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                 244851      1.49%     88.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     88.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                718334      4.37%     92.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                  4344      0.03%     92.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc              95287      0.58%     93.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     93.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift              1084104      6.60%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%    100.00% # attempts to use FU when none available (Count)
