
---------- Begin Simulation Statistics ----------
simSeconds                                   0.143629                       # Number of seconds simulated (Second)
simTicks                                 143629177720                       # Number of ticks simulated (Tick)
finalTick                                143629177720                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1514.77                       # Real time elapsed on the host (Second)
hostTickRate                                 94818904                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8700180                       # Number of bytes of host memory used (Byte)
simInsts                                    314287543                       # Number of instructions simulated (Count)
simOps                                      402599142                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   207482                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     265782                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        301741971                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.959641                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.042057                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       426893866                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    10014                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      423249470                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  57680                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24304737                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          16633179                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2419                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           295677216                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.431458                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.307704                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  96803669     32.74%     32.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  57593449     19.48%     52.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  86347857     29.20%     81.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  33579239     11.36%     92.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  15782002      5.34%     98.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4678780      1.58%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    636280      0.22%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    164518      0.06%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     91422      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             295677216                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4362056     26.60%     26.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  67781      0.41%     27.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     494      0.00%     27.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     27.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     5      0.00%     27.01% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   245      0.00%     27.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     27.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                  286      0.00%     27.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     27.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                2989380     18.23%     45.25% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc              840522      5.13%     50.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                5974339     36.43%     86.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                 244298      1.49%     88.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     88.29% # attempts to use FU when none available (Count)
