
---------- Begin Simulation Statistics ----------
simSeconds                                   0.138391                       # Number of seconds simulated (Second)
simTicks                                 138391395100                       # Number of ticks simulated (Tick)
finalTick                                138391395100                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1166.36                       # Real time elapsed on the host (Second)
hostTickRate                                118652308                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8601700                       # Number of bytes of host memory used (Byte)
simInsts                                    238353208                       # Number of instructions simulated (Count)
simOps                                      241295883                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   204356                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     206879                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        290738226                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.219127                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.820259                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252775485                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      489                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      254340658                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12192                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11480090                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12307351                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 124                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           290168869                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.876526                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.024790                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 128309978     44.22%     44.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  99969563     34.45%     78.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  41030578     14.14%     92.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14184638      4.89%     97.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4287883      1.48%     99.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1821406      0.63%     99.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    471512      0.16%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     78097      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     15214      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             290168869                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  317250     25.92%     25.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  12073      0.99%     26.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      90      0.01%     26.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 87070      7.11%     34.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                478380     39.08%     73.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 47123      3.85%     76.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               162738     13.30%     90.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             85161      6.96%     97.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                   501      0.04%     97.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                32924      2.69%     99.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     99.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     99.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     99.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      4      0.00%     99.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                    563      0.05%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     32      0.00%     99.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    68      0.01%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%    100.00% # attempts to use FU when none available (Count)
