
---------- Begin Simulation Statistics ----------
simSeconds                                   0.100019                       # Number of seconds simulated (Second)
simTicks                                 100018530864                       # Number of ticks simulated (Tick)
finalTick                                100018530864                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1129.13                       # Real time elapsed on the host (Second)
hostTickRate                                 88580348                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8616016                       # Number of bytes of host memory used (Byte)
simInsts                                    230470465                       # Number of instructions simulated (Count)
simOps                                      321829492                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   204114                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     285025                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        210122965                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.911612                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.096958                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       333083671                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    13157                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      341654205                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  23862                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11267335                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          13077786                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1291                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           209844649                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.628129                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.412269                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  59091264     28.16%     28.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  41919967     19.98%     48.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  58880039     28.06%     76.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  26527520     12.64%     88.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  17070724      8.13%     96.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4424889      2.11%     99.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1590608      0.76%     99.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    276493      0.13%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     63145      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             209844649                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4527442     19.26%     19.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  23264      0.10%     19.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    2198      0.01%     19.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                203833      0.87%     20.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5088      0.02%     20.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    28      0.00%     20.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                48080      0.20%     20.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             13374      0.06%     20.52% # attempts to use FU when none available (Count)
