
---------- Begin Simulation Statistics ----------
simSeconds                                   0.137679                       # Number of seconds simulated (Second)
simTicks                                 137678554160                       # Number of ticks simulated (Tick)
finalTick                                137678554160                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1232.65                       # Real time elapsed on the host (Second)
hostTickRate                                111692868                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8602724                       # Number of bytes of host memory used (Byte)
simInsts                                    238353245                       # Number of instructions simulated (Count)
simOps                                      241295921                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   193366                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     195753                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        289240661                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.212848                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.824506                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       252670316                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      490                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      254211932                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  12316                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11374884                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12227598                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 125                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           288652382                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.880685                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.024650                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 126709856     43.90%     43.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 100097576     34.68%     78.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  41162785     14.26%     92.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  14030808      4.86%     97.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4265408      1.48%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1793869      0.62%     99.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    497737      0.17%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     75781      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     18562      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             288652382                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  307884     25.32%     25.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  10781      0.89%     26.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                     105      0.01%     26.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 87797      7.22%     33.44% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                485008     39.89%     73.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                 47205      3.88%     77.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               155723     12.81%     90.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             86853      7.14%     97.17% # attempts to use FU when none available (Count)
