
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001160                       # Number of seconds simulated (Second)
simTicks                                   1159971064                       # Number of ticks simulated (Tick)
finalTick                                  1159971064                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.05                       # Real time elapsed on the host (Second)
hostTickRate                                 68022518                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8602832                       # Number of bytes of host memory used (Byte)
simInsts                                      2558166                       # Number of instructions simulated (Count)
simOps                                        2965626                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   150013                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     173907                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2436915                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.952499                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.049870                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3049656                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      176                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3071466                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    230                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                84206                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             64334                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  30                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2189372                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.402898                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.422431                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    795001     36.31%     36.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    478547     21.86%     58.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    441212     20.15%     78.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    272340     12.44%     90.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    139853      6.39%     97.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     42533      1.94%     99.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     17974      0.82%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1742      0.08%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       170      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2189372                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   47922     38.10%     38.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1006      0.80%     38.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                      11      0.01%     38.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                  2985      2.37%     41.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5086      4.04%     45.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    28      0.02%     45.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 4861      3.86%     49.21% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc              2288      1.82%     51.03% # attempts to use FU when none available (Count)
